101;Eisenstadt (Stadt);13.351
102;Rust (Stadt);1.918
103;Eisenstadt-Umgebung;41.225
104;Güssing;26.549
105;Jennersdorf;17.489
106;Mattersburg;39.195
107;Neusiedl am See;55.907
108;Oberpullendorf;37.565
109;Oberwart;53.492
201;Klagenfurt Stadt;95.450
202;Villach Stadt;59.646
203;Hermagor;18.609
204;Klagenfurt Land;58.435
205;Sankt Veit an der Glan;55.584
206;Spittal an der Drau;77.367
207;Villach Land;64.315
208;Völkermarkt;42.149
209;Wolfsberg;53.707
210;Feldkirchen;30.211
301;Krems an der Donau (Stadt);23.947
302;St. Pölten (Stadt);51.926
303;Waidhofen an der Ybbs (Stadt);11.425
304;Wiener Neustadt (Stadt);41.701
305;Amstetten;112.528
306;Baden;139.496
307;Bruck an der Leitha;43.298
308;Gänserndorf;96.533
309;Gmünd;37.564
310;Hollabrunn;50.174
311;Horn;31.334
312;Korneuburg;75.699
313;Krems (Land);55.973
314;Lilienfeld;26.180
315;Melk;76.365
316;Mistelbach;73.959
317;Mödling;114.825
318;Neunkirchen;85.344
319;Sankt Pölten (Land);96.935
320;Scheibbs;40.928
321;Tulln;71.485
322;Waidhofen an der Thaya;26.597
323;Wiener Neustadt (Land);75.129
324;Wien Umgebung;115.986
325;Zwettl;43.261
401;Linz (Stadt);191.501
402;Steyr (Stadt);38.140
403;Wels (Stadt);58.882
404;Braunau am Inn;98.333
405;Eferding;31.786
406;Freistadt;65.148
407;Gmunden;99.320
408;Grieskirchen;62.759
409;Kirchdorf an der Krems;55.518
410;Linz-Land;140.169
411;Perg;65.963
412;Ried im Innkreis;58.617
413;Rohrbach;56.472
414;Schärding;56.393
415;Steyr-Land;58.489
416;Urfahr-Umgebung;81.889
417;Vöcklabruck;130.876
418;Wels-Land;68.243
501;Salzburg (Stadt);145.871
502;Hallein;57.946
503;Salzburg-Umgebung;144.288
504;Sankt Johann im Pongau;78.395
505;Tamsweg;20.668
506;Zell am See;84.730
601;Graz (Stadt);265.778
603;Deutschlandsberg;60.437
606;Graz-Umgebung;144.316
610;Leibnitz;77.674
611;Leoben;62.027
612;Liezen;79.040
614;Murau;28.939
616;Voitsberg;51.778
617;Weiz;88.051
620;Murtal;73.343
621;Bruck-Mürzzuschlag;101.245
622;Hartberg-Fürstenfeld;89.183
623;Südoststeiermark;89.160
701;Innsbruck-Stadt;122.458
702;Imst;57.236
703;Innsbruck-Land;167.954
704;Kitzbühel;61.901
705;Kufstein;102.107
706;Landeck;43.838
707;Lienz;49.071
708;Reutte;31.647
709;Schwaz;79.676
801;Bludenz;61.044
802;Bregenz;127.676
803;Dornbirn;83.168
804;Feldkirch;100.715
